종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
230360,에코마케팅,"25,050","-200","0.79","2,506,615,550","816,576,743,700"
086520,에코프로,"45,650","-2,000","4.20","23,057,782,550","853,718,316,550"
247540,에코프로비엠,"175,800","-800","0.45","9,599,232,500","3,853,442,122,800"
183490,엔지켐생명과학,"96,000","-2,800","2.83","18,166,670,500","799,809,120,000"
182400,엔케이맥스,"14,250","-200","1.38","2,625,770,950","497,216,600,250"
061970,엘비세미콘,"13,050","-150","1.14","4,423,773,250","571,388,925,600"
290650,엘앤씨바이오,"30,950","100","0.32","2,852,453,050","677,093,397,600"
066970,엘앤에프,"87,600","-900","1.02","18,659,870,800","2,459,696,660,400"
097520,엠씨넥스,"47,900","-900","1.84","8,797,741,900","855,660,787,800"
039200,오스코텍,"36,700","-750","2.00","8,429,624,600","1,097,875,325,300"
048260,오스템임플란트,"91,000","1,900","2.13","14,717,538,200","1,300,000,247,000"
138080,오이솔루션,"43,750","-550","1.24","5,284,312,550","464,804,156,250"
122990,와이솔,"12,600","-100","0.79","2,152,101,250","355,155,456,600"
122870,와이지엔터테인먼트,"51,000","100","0.20","8,430,470,200","940,127,319,000"
240810,원익IPS,"50,400","0","0.00","14,364,464,550","2,473,828,610,400"
104830,원익머트리얼즈,"34,150","-650","1.87","2,864,591,150","430,563,200,000"
030530,원익홀딩스,"6,720","80","1.20","2,788,539,280","519,039,232,320"
069080,웹젠,"31,450","-800","2.48","12,468,276,600","1,110,527,301,800"
044340,위닉스,"22,850","-50","0.22","2,418,094,400","408,407,761,250"
112040,위메이드,"58,900","-100","0.17","4,968,837,900","989,520,000,000"
078070,유비쿼스홀딩스,"21,100","100","0.48","931,747,050","394,498,850,800"
023410,유진기업,"6,030","100","1.69","8,946,529,590","466,184,503,890"
084370,유진테크,"47,950","1,400","3.01","16,575,274,350","1,098,824,213,900"
263050,유틸렉스,"33,250","-1,200","3.48","3,892,994,000","505,176,127,750"
272290,이녹스첨단소재,"61,400","-900","1.44","8,699,686,900","600,235,900,600"
078020,이베스트투자증권,"8,440","-60","0.71","1,159,830,310","468,261,243,600"
102710,이엔에프테크놀로지,"35,050","-350","0.99","4,014,285,100","500,788,651,800"
039030,이오테크닉스,"111,100","-1,400","1.24","7,096,546,000","1,368,702,005,000"
035810,이지홀딩스,"5,070","40","0.80","3,482,854,550","330,289,434,150"
060150,인선이엔티,"13,000","-100","0.76","6,318,789,400","605,326,956,000"
048530,인트론바이오,"22,600","-450","1.95","5,603,698,300","756,502,433,400"
095700,제넥신,"97,500","-2,500","2.50","75,884,903,300","2,431,220,805,000"
204270,제이앤티씨,"9,610","-80","0.83","858,531,600","555,923,758,260"
036930,주성엔지니어링,"13,950","-250","1.76","8,831,693,650","673,076,507,400"
115450,지트리비앤티,"11,200","-300","2.61","4,659,425,200","303,385,812,800"
085660,차바이오텍,"19,400","-100","0.51","3,614,733,850","1,035,130,320,200"
278280,천보,"167,500","-500","0.30","4,996,971,600","1,675,000,000,000"
293490,카카오게임즈,"53,400","900","1.71","27,693,085,600","3,984,078,627,600"
042000,카페24,"30,750","-150","0.49","2,215,952,000","579,168,039,750"
078340,컴투스,"130,200","-1,300","0.99","25,113,668,800","1,675,207,884,000"
214370,케어젠,"66,800","-500","0.74","900,421,100","717,632,400,000"
032500,케이엠더블유,"53,400","-800","1.48","16,276,020,900","2,126,435,152,200"
290510,코리아센터,"8,270","-80","0.96","3,082,731,000","630,179,267,990"
041960,코미팜,"10,400","-50","0.48","1,826,527,850","667,533,110,400"
029960,코엔텍,"9,340","70","0.76","4,633,874,350","467,000,000,000"
033290,코웰패션,"6,390","-90","1.39","2,359,184,370","565,516,495,260"
200130,콜마비앤에이치,"52,700","-200","0.38","6,872,640,700","1,556,945,506,600"
083790,크리스탈지노믹스,"8,280","-270","3.16","6,393,753,180","573,360,904,080"
214150,클래시스,"15,300","-350","2.24","6,011,126,750","990,168,019,200"
237880,클리오,"27,700","250","0.91","15,719,910,400","480,104,183,700"
095610,테스,"30,700","-100","0.32","5,621,184,250","606,884,538,200"
200230,텔콘RF제약,"4,720","-65","1.36","2,353,694,385","413,042,536,640"
108230,톱텍,"11,900","-50","0.42","1,443,416,100","452,476,615,500"
064760,티씨케이,"171,500","-3,800","2.17","4,288,861,200","2,002,262,500,000"
034230,파라다이스,"19,800","400","2.06","21,421,291,100","1,800,664,905,600"
214450,파마리서치,"82,400","-2,000","2.37","9,194,462,400","833,223,032,000"
091700,파트론,"10,400","-50","0.48","2,298,416,950","563,226,664,000"
263750,펄어비스,"59,100","-600","1.01","8,491,872,400","3,913,690,650,000"
022100,포스코 ICT,"8,200","50","0.61","13,518,376,030","1,246,684,777,800"
137400,피엔티,"22,600","550","2.49","6,202,948,700","513,951,074,800"
003380,하림지주,"10,600","350","3.41","5,502,275,800","978,823,292,000"
034950,한국기업평가,"86,400","0","0.00","286,347,700","392,300,409,600"
084990,헬릭스미스,"31,050","-850","2.66","7,006,057,250","1,063,950,419,700"
048410,현대바이오,"35,100","-950","2.64","37,149,854,300","1,281,896,822,700"
052260,현대바이오랜드,"23,700","150","0.64","3,596,682,400","355,500,000,000"
243070,휴온스,"61,600","-1,500","2.38","7,545,658,600","668,955,733,600"
145020,휴젤,"201,000","-600","0.30","4,265,712,600","2,509,576,455,000"
