종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
071050,한국금융지주,"108,500","2,500","2.36","46,144,430,500","6,046,270,132,000"
000240,한국앤컴퍼니,"20,400","-150","0.73","3,718,792,550","1,936,678,896,000"
015760,한국전력,"25,800","150","0.58","88,963,110,000","16,562,673,186,600"
009540,한국조선해양,"145,500","-4,000","2.68","55,179,534,000","10,297,488,378,000"
161890,한국콜마,"61,700","-100","0.16","18,470,313,000","1,411,768,806,000"
161390,한국타이어앤테크놀로지,"51,500","1,000","1.98","16,395,276,200","6,379,566,053,500"
047810,한국항공우주,"34,200","0","0.00","17,073,476,150","3,333,648,659,400"
008930,한미사이언스,"70,400","-1,100","1.54","10,900,707,000","4,738,244,614,400"
128940,한미약품,"347,000","-3,500","1.00","11,807,720,000","4,191,163,854,000"
009240,한샘,"111,500","-3,000","2.62","7,417,851,000","2,624,032,972,000"
020000,한섬,"44,150","-650","1.45","3,914,482,400","1,087,414,500,000"
105630,한세실업,"24,750","-800","3.13","10,725,828,000","990,000,000,000"
014680,한솔케미칼,"256,000","1,500","0.59","16,108,730,000","2,901,809,920,000"
018880,한온시스템,"17,150","150","0.88","17,311,762,300","9,154,670,000,000"
009420,한올바이오파마,"20,900","-250","1.18","9,324,811,300","1,091,829,334,200"
006390,한일현대시멘트,"40,150","-450","1.11","2,791,118,200","713,647,580,250"
051600,한전KPS,"43,750","-950","2.13","17,562,361,700","1,968,750,000,000"
052690,한전기술,"56,300","-800","1.40","36,473,467,600","2,151,786,000,000"
180640,한진칼,"70,200","100","0.14","16,580,243,500","4,651,638,310,800"
000880,한화,"31,900","-650","2.00","18,872,680,450","2,391,183,646,500"
088350,한화생명,"3,790","-75","1.94","21,803,082,490","3,291,728,700,000"
009830,한화솔루션,"44,750","-250","0.56","49,500,323,250","8,559,712,740,750"
272210,한화시스템,"17,550","0","0.00","7,067,444,750","1,934,543,326,950"
012450,한화에어로스페이스,"46,900","-700","1.47","22,585,021,200","2,374,547,000,000"
000720,현대건설,"56,300","-1,100","1.92","81,183,202,200","6,269,329,569,500"
005440,현대그린푸드,"11,050","-300","2.64","10,232,334,100","1,079,634,526,100"
086280,현대글로비스,"193,500","2,000","1.04","22,410,379,000","7,256,250,000,000"
064350,현대로템,"21,550","-300","1.37","29,468,549,050","2,352,016,414,150"
012330,현대모비스,"279,000","-1,000","0.36","127,041,592,000","26,447,273,226,000"
010620,현대미포조선,"87,500","-2,200","2.45","34,595,542,700","3,494,938,037,500"
069960,현대백화점,"92,500","300","0.33","12,050,065,800","2,164,725,792,500"
017800,현대엘리베이,"56,000","-300","0.53","18,009,996,800","2,285,650,696,000"
011210,현대위아,"85,500","1,500","1.79","44,785,636,600","2,325,179,596,500"
004020,현대제철,"52,600","-1,400","2.59","70,564,383,500","7,019,248,291,000"
267250,현대중공업지주,"76,400","-300","0.39","27,002,847,900","6,035,071,694,000"
005380,현대차,"238,500","500","0.21","246,605,146,000","50,959,862,599,500"
001450,현대해상,"24,050","-300","1.23","26,174,098,650","2,150,070,000,000"
057050,현대홈쇼핑,"91,400","-800","0.87","2,356,224,300","1,096,800,000,000"
008770,호텔신라,"99,900","-1,600","1.58","50,577,495,400","3,920,887,287,900"
241590,화승엔터프라이즈,"18,150","-550","2.94","5,314,365,000","1,099,053,121,650"
004800,효성,"99,800","-1,700","1.67","5,728,985,800","2,102,888,295,000"
093370,후성,"10,300","100","0.98","5,054,627,900","953,850,235,700"
081660,휠라홀딩스,"56,800","-1,400","2.41","35,211,546,400","3,450,726,209,600"
069260,휴켐스,"22,200","100","0.45","3,898,602,450","907,504,653,600"
